"CALC_FOR_STATE_ACCT","Gradespan","DISTRICT","distname","COUNTY","cntyname","REGION","regnname","DIST_ALLN","DIST_ALLR","DIST_ALLD","DIST_MALN","DIST_MALR","DIST_MALD","DIST_FEMN","DIST_FEMR","DIST_FEMD","DIST_AAN","DIST_AAR","DIST_AAD","DIST_ASN","DIST_ASR","DIST_ASD","DIST_HSN","DIST_HSR","DIST_HSD","DIST_NAN","DIST_NAR","DIST_NAD","DIST_WHN","DIST_WHR","DIST_WHD","DIST_PIN","DIST_PIR","DIST_PID","DIST_MUN","DIST_MUR","DIST_MUD","DIST_ATRN","DIST_ATRR","DIST_ATRD","DIST_BEN","DIST_BER","DIST_BED","DIST_TTLN","DIST_TTLR","DIST_TTLD","DIST_CTEN","DIST_CTER","DIST_CTED","DIST_ECNN","DIST_ECNR","DIST_ECND","DIST_GFTN","DIST_GFTR","DIST_GFTD","DIST_IMMN","DIST_IMMR","DIST_IMMD","DIST_LEPN","DIST_LEPR","DIST_LEPD","DIST_MIGN","DIST_MIGR","DIST_MIGD","DIST_OVRN","DIST_OVRR","DIST_OVRD","DIST_SPEN","DIST_SPER","DIST_SPED"
"Yes","712","001907","Palestine ISD","001","Anderson County","07","Kilgore","-","0.5","<1,500","-","0.6","<800","-","0.3","<800","-","0.9","<500","0","0.0","12","-","0.2","<600","0","0.0","8","-","0.2","<500",".",".",".","-","5.6","<100","-","0.4","<800","0","0.0","29","-","0.5","<1,500","-","0.4","<600","-","0.4","<1,000","0","0.0","56","0","0.0","8","0","0.0","44",".",".",".","-","0.8","<500","-","1.3","<200"
"No","78","001907","Palestine ISD","001","Anderson County","07","Kilgore","-","0.2","<600","-","0.4","<300","-","0.0","<300","-","0.6","<200","0","0.0","3","0","0.0","204","0","0.0","3","0","0.0","141",".",".",".","0","0.0","8","-","0.5","<300","0","0.0","11","-","0.2","<600",".",".",".","0","0.0","363","0","0.0","20","0","0.0","6","0","0.0","21",".",".",".","-","0.6","<200","-","2.0","<100"
"Yes","78","001907","Palestine ISD","001","Anderson County","07","Kilgore","-","0.2","<600","-","0.4","<300","-","0.0","<300","-","0.6","<200","0","0.0","3","0","0.0","204","0","0.0","3","0","0.0","141",".",".",".","0","0.0","8","-","0.5","<300","0","0.0","11","-","0.2","<600",".",".",".","0","0.0","363","0","0.0","20","0","0.0","6","0","0.0","21",".",".",".","-","0.6","<200","-","2.0","<100"
"No","912","001907","Palestine ISD","001","Anderson County","07","Kilgore","-","0.7","<1,000","-","0.8","<600","-","0.6","<500","-","1.1","<300","0","0.0","9","-","0.3","<400","0","0.0","5","-","0.6","<400",".",".",".","-","10.0","<100","-","0.4","<600","0","0.0","18","-","0.7","<1,000","-","0.4","<600","-","0.7","<700","0","0.0","36","0","0.0","2","0","0.0","23","0","0.0","1","-","1.0","<400","-","1.0","<100"
"Yes","912","001907","Palestine ISD","001","Anderson County","07","Kilgore","-","0.6","<1,000","-","0.8","<600","-","0.4","<500","-","1.1","<300","0","0.0","9","-","0.3","<400","0","0.0","5","-","0.3","<400",".",".",".","-","10.0","<100","-","0.4","<600","0","0.0","18","-","0.6","<1,000","-","0.4","<600","-","0.7","<700","0","0.0","36","0","0.0","2","0","0.0","23",".",".",".","-","1.0","<400","-","1.0","<100"
"No","712","001908","Westwood ISD","001","Anderson County","07","Kilgore","-","0.4","<800","-","0.3","<400","-","0.6","<400","0","0.0","143","0","0.0","7","-","1.6","<200","0","0.0","1","-","0.2","<500","0","0.0","2","0","0.0","22","-","0.4","<300","0","0.0","12",".",".",".","0","0.0","81","-","0.5","<500","0","0.0","30","0","0.0","3","-","6.3","<100",".",".",".","-","0.9","<300","-","1.1","<100"
"Yes","712","001908","Westwood ISD","001","Anderson County","07","Kilgore","-","0.4","<800","-","0.3","<400","-","0.6","<400","0","0.0","142","0","0.0","7","-","1.6","<200","0","0.0","1","-","0.2","<500","0","0.0","2","0","0.0","22","-","0.4","<300","0","0.0","11",".",".",".","0","0.0","81","-","0.5","<500","0","0.0","30","0","0.0","3","-","6.7","<100",".",".",".","-","0.9","<300","-","1.1","<100"
"No","78","001908","Westwood ISD","001","Anderson County","07","Kilgore","-","0.4","<300","-","0.0","<200","-","0.8","<200","0","0.0","55","0","0.0","2","-","1.7","<100","0","0.0","1","0","0.0","139",".",".",".","0","0.0","7","0","0.0","88","0","0.0","7",".",".",".",".",".",".","0","0.0","182","0","0.0","11",".",".",".","-","10.0","<100",".",".",".","0","0.0","79","0","0.0","37"
"Yes","78","001908","Westwood ISD","001","Anderson County","07","Kilgore","-","0.4","<300","-","0.0","<200","-","0.8","<200","0","0.0","55","0","0.0","2","-","1.7","<100","0","0.0","1","0","0.0","139",".",".",".","0","0.0","7","0","0.0","88","0","0.0","7",".",".",".",".",".",".","0","0.0","182","0","0.0","11",".",".",".","-","10.0","<100",".",".",".","0","0.0","79","0","0.0","37"
"No","912","001908","Westwood ISD","001","Anderson County","07","Kilgore","-","0.4","<500","-","0.4","<300","-","0.4","<300","0","0.0","88","0","0.0","5","-","1.4","<100",".",".",".","-","0.3","<300","0","0.0","2","0","0.0","15","-","0.6","<200","0","0.0","5",".",".",".","0","0.0","81","-","0.8","<300","0","0.0","19","0","0.0","3","0","0.0","6",".",".",".","-","1.3","<200","-","2.0","<100"
