"DIST_ALLN","DIST_ALLR","DIST_ALLD","DISTRICT","Gradespan","DIST_MALN","DIST_MALR","DIST_MALD","DIST_FEMN","DIST_FEMR","DIST_FEMD","DIST_AAN","DIST_AAR","DIST_AAD","DIST_ASN","DIST_ASR","DIST_ASD","DIST_HSN","DIST_HSR","DIST_HSD","DIST_NAN","DIST_NAR","DIST_NAD","DIST_WHN","DIST_WHR","DIST_WHD","DIST_PIN","DIST_PIR","DIST_PID","DIST_MUN","DIST_MUR","DIST_MUD","DIST_ATRN","DIST_ATRR","DIST_ATRD","DIST_BEN","DIST_BER","DIST_BED","DIST_TTLN","DIST_TTLR","DIST_TTLD","DIST_CTEN","DIST_CTER","DIST_CTED","DIST_ECNN","DIST_ECNR","DIST_ECND","DIST_GFTN","DIST_GFTR","DIST_GFTD","DIST_IMMN","DIST_IMMR","DIST_IMMD","DIST_LEPN","DIST_LEPR","DIST_LEPD","DIST_MIGN","DIST_MIGR","DIST_MIGD","DIST_OVRN","DIST_OVRR","DIST_OVRD","DIST_SPEN","DIST_SPER","DIST_SPED","cntyname","regnname","distname","COUNTY","REGION","CALC_PER_TEC"
"0","0.0","139","001906","912","0","0.0","72","0","0.0","67","0","0.0","10","0","0.0","1","0","0.0","11",".",".",".","0","0.0","115",".",".",".","0","0.0","2","0","0.0","46","0","0.0","3","0","0.0","139","0","0.0","51","0","0.0","55","0","0.0","8",".",".",".","0","0.0","3",".",".",".","0","0.0","40","0","0.0","18","Anderson County","Kilgore","Neches ISD","001","07","Yes"
"22","1.5","1,516","001907","712","-","1.6","<900","-","1.3","<800","-","1.5","<500","-","7.7","<100","-","1.9","<600","0","0.0","9","-","0.9","<600","0","0.0","1","0","0.0","15","-","1.6","<800","-","11.1","<100","22","1.5","1,516","-","1.0","<500","15","1.5","<1,000","0","0.0","60","-","11.1","<100","-","16.0","<100","0","0.0","2","18","3.7","491","-","1.2","<200","Anderson County","Kilgore","Palestine ISD","001","07","No"
"21","1.4","1,510","001907","712","-","1.5","<900","-","1.3","<800","-","1.2","<500","-","7.7","<100","-","1.9","<600","0","0.0","9","-","0.9","<600","0","0.0","1","0","0.0","15","-","1.4","<800","-","11.1","<100","21","1.4","1,510","-","1.0","<500","-","1.4","<1,000","0","0.0","60","-","11.1","<100","-","16.0","<100","0","0.0","2","18","3.7","487","-","1.3","<200","Anderson County","Kilgore","Palestine ISD","001","07","Yes"
"-","0.4","<600","001907","78","-","0.4","<300","-","0.4","<300","0","0.0","131","0","0.0","2","-","0.5","<200","0","0.0","3","-","0.6","<200",".",".",".","0","0.0","7","0","0.0","246","0","0.0","15","-","0.4","<600",".",".",".","-","0.3","<400","0","0.0","20","0","0.0","5","0","0.0","1",".",".",".","-","0.6","<200","0","0.0","53","Anderson County","Kilgore","Palestine ISD","001","07","No"
"-","0.4","<600","001907","78","-","0.4","<300","-","0.4","<300","0","0.0","131","0","0.0","2","-","0.5","<200","0","0.0","3","-","0.6","<200",".",".",".","0","0.0","7","0","0.0","246","0","0.0","15","-","0.4","<600",".",".",".","-","0.3","<400","0","0.0","20","0","0.0","5","0","0.0","1",".",".",".","-","0.6","<200","0","0.0","53","Anderson County","Kilgore","Palestine ISD","001","07","Yes"
"-","2.0","<1,100","001907","912","-","2.2","<600","-","1.7","<500","-","2.1","<300","-","9.1","<100","-","2.7","<400","0","0.0","6","-","1.1","<400","0","0.0","1","0","0.0","8","-","2.3","<600","-","19.0","<100","-","2.0","<1,100","-","1.0","<500","-","2.2","<700","0","0.0","40","-","25.0","<100","-","16.7","<100","0","0.0","2","-","5.2","<400","-","1.8","<200","Anderson County","Kilgore","Palestine ISD","001","07","No"
"-","1.9","<1,100","001907","912","-","2.1","<600","-","1.7","<500","-","1.8","<300","-","9.1","<100","-","2.7","<400","0","0.0","6","-","1.1","<400","0","0.0","1","0","0.0","8","-","2.1","<600","-","19.0","<100","-","1.9","<1,100","-","1.0","<500","-","2.1","<700","0","0.0","40","-","25.0","<100","-","16.7","<100","0","0.0","2","-","5.2","<400","-","1.9","<200","Anderson County","Kilgore","Palestine ISD","001","07","Yes"
"-","0.5","<800","001908","712","-","0.3","<400","-","0.8","<400","-","0.7","<200","0","0.0","7","0","0.0","114","0","0.0","3","-","0.7","<500","0","0.0","4","0","0.0","26","-","0.8","<300","0","0.0","4",".",".",".","-","0.5","<200","-","0.3","<400","0","0.0","36","0","0.0","4","0","0.0","5",".",".",".","-","0.9","<300","-","1.2","<100","Anderson County","Kilgore","Westwood ISD","001","07","No"
"-","0.4","<800","001908","712","-","0.0","<400","-","0.8","<400","0","0.0","<200","0","0.0","7","0","0.0","112","0","0.0","3","-","0.7","<500","0","0.0","4","0","0.0","26","-","0.8","<300","0","0.0","3",".",".",".","-","0.5","<200","-","0.3","<400","0","0.0","36","0","0.0","4","0","0.0","4",".",".",".","-","0.9","<300","-","1.2","<100","Anderson County","Kilgore","Westwood ISD","001","07","Yes"
"0","0.0","267","001908","78","0","0.0","130","0","0.0","137","0","0.0","52","0","0.0","2","0","0.0","44","0","0.0","2","0","0.0","155","0","0.0","2","0","0.0","10","0","0.0","66","0","0.0","3",".",".",".",".",".",".","0","0.0","159","0","0.0","13",".",".",".","0","0.0","3",".",".",".","0","0.0","84","0","0.0","36","Anderson County","Kilgore","Westwood ISD","001","07","No"
"0","0.0","267","001908","78","0","0.0","130","0","0.0","137","0","0.0","52","0","0.0","2","0","0.0","44","0","0.0","2","0","0.0","155","0","0.0","2","0","0.0","10","0","0.0","66","0","0.0","3",".",".",".",".",".",".","0","0.0","159","0","0.0","13",".",".",".","0","0.0","3",".",".",".","0","0.0","84","0","0.0","36","Anderson County","Kilgore","Westwood ISD","001","07","Yes"
"-","0.9","<500","001908","912","-","0.4","<300","-","1.3","<300","-","1.1","<100","0","0.0","5","0","0.0","70","0","0.0","1","-","1.0","<300","0","0.0","2","0","0.0","16","-","1.1","<200","0","0.0","1",".",".",".","-","0.5","<200","-","0.4","<300","0","0.0","23","0","0.0","4","0","0.0","2",".",".",".","-","1.3","<200","-","2.0","<100","Anderson County","Kilgore","Westwood ISD","001","07","No"
"-","0.6","<500","001908","912","-","0.0","<300","-","1.3","<300","0","0.0","<100","0","0.0","5","0","0.0","68","0","0.0","1","-","1.0","<300","0","0.0","2","0","0.0","16","-","1.1","<200",".",".",".",".",".",".","-","0.5","<200","-","0.4","<300","0","0.0","23","0","0.0","4","0","0.0","1",".",".",".","-","1.4","<200","-","2.0","<100","Anderson County","Kilgore","Westwood ISD","001","07","Yes"
"-","1.5","<300","001909","712","-","2.0","<200","-","1.0","<200","0","0.0","3",".",".",".","0","0.0","12",".",".",".","-","1.6","<200",".",".",".","0","0.0","4","0","0.0","38","0","0.0","2","-","1.5","<300","-","1.6","<200","-","3.3","<100","0","0.0","10",".",".",".","0","0.0","2",".",".",".","-","2.0","<100","-","6.3","<100","Anderson County","Kilgore","Slocum ISD","001","07","No"
