District_Id,Year,Fall_Enrollment
14901,2015,1361
14901,2016,1410
14901,2017,1519
14901,2018,1554
14901,2019,1641
14902,2005,449
14902,2006,442
14902,2007,399
14902,2008,397
14902,2009,410
14902,2010,388
14902,2011,379
14902,2012,395
14902,2013,421
14902,2014,395
14902,2015,395
14902,2016,369
14902,2017,372
14902,2018,342
14902,2019,342
14903,2005,7137
14903,2006,7526
14903,2007,7968
14903,2008,8292
14903,2009,8514
14903,2010,8837
14903,2011,9232
14903,2012,9509
14903,2013,9896
14903,2014,10305
14903,2015,10488
14903,2016,10828
14903,2017,11077
14903,2018,11488
14903,2019,11861
14905,2005,510
14905,2006,536
14905,2007,565
14905,2008,571
14905,2009,555
14905,2010,540
14905,2011,568
14905,2012,612
14905,2013,610
14905,2014,630
14905,2015,650
14905,2016,677
14905,2017,701
14905,2018,668
14905,2019,656
14906,2005,33242
14906,2006,34522
14906,2007,36589
14906,2008,38117
14906,2009,38438
14906,2010,39523
14906,2011,40165
14906,2012,40923
14906,2013,41687
14906,2014,41336
14906,2015,42581
14906,2016,43204
14906,2017,43725
14906,2018,44233
14906,2019,44919
14907,2005,862
14907,2006,832
14907,2007,833
14907,2008,838
14907,2009,830
14907,2010,825
14907,2011,894
14907,2012,860
14907,2013,838
14907,2014,862
14907,2015,856
14907,2016,879
14907,2017,866
14907,2018,893
14907,2019,867
14908,2005,1148
14908,2006,1207
14908,2007,1257
14908,2008,1230
14908,2009,1318
14908,2010,1345
14908,2011,1354
14908,2012,1389
14908,2013,1348
14908,2014,1465
14908,2015,1558
14908,2016,1662
14908,2017,1754
14908,2018,1862
14908,2019,1948
14909,2005,8105
14909,2006,8197
14909,2007,8377
14909,2008,8507
14909,2009,8569
14909,2010,8659
14909,2011,8840
14909,2012,8728
14909,2013,8752
14909,2014,8644
14909,2015,8609
14909,2016,8599
14909,2017,8606
14909,2018,8591
14909,2019,8698
14910,2005,1244
14910,2006,1215
14910,2007,1279
14910,2008,1283
14910,2009,1311
14910,2010,1271
14910,2011,1284
14910,2012,1342
14910,2013,1380
14910,2014,1434
14910,2015,1467
14910,2016,1483
14910,2017,1490
14910,2018,1528
14910,2019,1539
15801,2005,361
15801,2006,351
15801,2007,329
15801,2008,372
15801,2009,307
15801,2010,304
15801,2011,339
15801,2012,353
15801,2013,311
15801,2014,303
15801,2015,352
15801,2016,322
15801,2017,262
15801,2018,269
15801,2019,228
15802,2005,376
15802,2006,384
15802,2007,563
15802,2008,575
15802,2009,618
15802,2010,779
15802,2011,1327
15802,2012,1327
15802,2013,1228
15802,2014,1313
15802,2015,1122
15802,2016,1304
15802,2017,1355
15802,2018,1357
15802,2019,1054
15803,2005,219
15803,2006,286
15803,2007,315
15803,2008,498
15803,2009,561
15803,2010,498
15803,2011,695
15803,2012,735
15803,2013,642
15803,2014,485
15805,2005,630
15805,2006,614
15805,2007,627
15805,2008,583
15805,2009,606
15805,2010,609
15805,2011,616
15805,2012,608
15805,2013,627
15805,2014,615
15805,2015,675
15805,2016,707
15805,2017,742
15805,2018,706
15805,2019,663
15806,2005,1481
15806,2006,1767
15806,2007,2288
15806,2008,2658
15806,2009,2272
15806,2010,2085
15806,2011,1624
15806,2012,1669
15806,2013,1527
15806,2014,1384
15806,2015,1115
15806,2016,1095
15806,2017,830
15806,2018,667
15806,2019,649
15807,2005,878
15807,2006,955
15807,2007,948
15807,2008,920
15807,2009,758
15807,2010,805
15807,2011,772
15807,2012,468
15807,2013,508
15807,2014,627
15807,2015,898
15807,2016,891
15807,2017,908
15807,2018,879
15807,2019,983
15808,2005,494
15808,2006,241
15808,2007,270
15808,2008,257
15808,2009,337
15808,2010,348
15808,2011,581
15808,2012,522
15808,2013,557
15808,2014,489
15808,2015,773
15808,2016,799
15808,2017,835
15808,2018,867
15808,2019,863
15809,2005,514
15809,2006,524
15809,2007,501
15809,2008,504
15809,2009,485
15809,2010,482
15809,2011,509
15809,2012,502
15809,2013,458
15809,2014,505
15809,2015,432
15809,2016,444
15809,2017,368
15809,2018,374
15809,2019,349
15810,2005,43
15811,2005,121
15811,2006,142
15811,2007,124
15811,2008,149
15811,2009,161
15811,2010,98
15812,2005,183
15812,2006,181
15812,2007,123
15812,2008,118
15812,2009,129
15812,2010,166
15812,2011,197
15813,2005,13
15813,2006,31
15813,2007,10
15813,2008,7
15813,2009,18
15813,2010,17
15814,2005,309
15814,2006,245
15814,2007,151
15814,2008,161
15814,2009,165
15814,2010,224
15814,2011,157
15814,2012,151
15814,2013,167
15814,2014,183
15814,2015,172
15814,2016,163
15814,2017,152
15814,2018,125
15814,2019,131
15815,2005,409
15815,2006,411
15815,2007,498
15815,2008,632
15815,2009,788
15815,2010,740
15815,2011,857
15815,2012,722
15815,2013,482
15815,2014,556
15815,2015,579
15815,2016,501
15815,2017,467
15815,2018,508
15815,2019,635
15816,2005,151
15816,2006,150
15816,2007,127
15816,2008,161
15816,2009,156
15816,2010,145
15816,2011,162
15816,2012,188
15816,2013,192
15816,2014,182
15816,2015,221
15817,2005,386
15817,2006,347
15817,2007,406
15817,2008,399
15817,2009,400
15817,2010,377
15817,2011,360
15817,2012,430
15817,2013,435
15818,2005,140
15818,2006,122
15819,2005,400
15819,2006,800
15819,2007,912
15819,2008,945
15819,2009,948
15819,2010,1125
15819,2011,1132
15819,2012,915
15819,2013,890
15819,2014,798
15819,2015,749
15819,2016,486
15820,2005,193
15820,2006,204
15820,2007,240
15820,2008,275
15820,2009,290
15820,2010,352
15820,2011,383
15820,2012,404
15820,2013,423
15820,2014,408
15820,2015,426
15820,2016,515
15822,2005,453
15822,2006,446
15822,2007,452
15822,2008,535
15822,2009,677
15822,2010,701
15822,2011,916
15822,2012,1836
15822,2013,2378
15822,2014,2991
15822,2015,4251
15822,2016,4598
15822,2017,4731
15822,2018,5650
15822,2019,5957
15823,2005,70
15823,2006,128
15823,2007,68
15823,2008,89
15823,2009,69
15823,2010,85
15823,2011,70
15823,2012,84
15823,2013,77
15823,2014,62
15824,2005,145
15824,2006,180
15824,2007,262
15824,2008,284
15824,2009,772
15824,2010,747
15824,2011,683
15825,2005,176
15825,2006,152
15825,2007,66
15825,2008,127
15825,2009,166
15825,2010,207
15825,2011,221
15825,2012,214
15825,2013,233
15825,2014,247
15825,2015,262
15825,2016,287
15825,2017,295
15825,2018,302
15825,2019,332
15826,2005,148
15826,2006,239
15826,2007,320
15826,2008,353
15826,2009,366
15826,2010,496
15826,2011,728
15826,2012,881
15826,2013,1201
15826,2014,1485
15826,2015,1920
15826,2016,2442
15826,2017,2947
15826,2018,3253
15827,2006,226
15827,2007,327
15827,2008,405
15827,2009,400
15827,2010,694
15827,2011,756
15827,2012,860
15827,2013,843
15827,2014,855
15827,2015,844
15827,2016,863
15827,2017,1238
15827,2018,1583
15827,2019,1851
15828,2007,301
15828,2008,371
15828,2009,585
15828,2010,768
15828,2011,904
15828,2012,1138
15828,2013,2148
15828,2014,2266
15828,2015,3150
15828,2016,3509
15828,2017,3705
15828,2018,4328
15828,2019,4512
15829,2007,29
15830,2007,235
15830,2008,451
15830,2009,602
15830,2010,686
15830,2011,638
15830,2012,1018
15830,2013,1208
15830,2014,1509
15830,2015,1776
15830,2016,1785
15830,2017,1961
15830,2018,2898
15830,2019,3322
15831,2009,278
15831,2010,345
15831,2011,369
15831,2012,399
15831,2013,910
15831,2014,1014
15831,2015,1082
15831,2016,1176
15831,2017,1534
15831,2018,1676
15831,2019,2380
15832,2010,67
15832,2011,123
15832,2012,145
15832,2013,124
15832,2014,144
15833,2010,74
15833,2011,149
15833,2012,159
15833,2013,203
15833,2014,181
15833,2015,158
15833,2016,126
15833,2017,113
15833,2018,137
15833,2019,127
15834,2014,508
15834,2015,1052
15834,2016,1305
15834,2017,1384
15834,2018,2452
15834,2019,2597
15835,2015,572
15835,2016,2009
15835,2017,2312
15835,2018,2766
15835,2019,3615
15836,2014,196
15836,2015,258
15836,2016,280
15836,2017,295
15836,2018,319
15836,2019,337
15837,2016,244
15837,2017,262
15838,2018,90
15838,2019,193
15901,2005,4374
15901,2006,4527
15901,2007,4536
15901,2008,4572
15901,2009,4618
15901,2010,4736
15901,2011,4744
15901,2012,4791
15901,2013,4805
15901,2014,4815
15901,2015,4760
15901,2016,4808
15901,2017,4838
15901,2018,4786
15901,2019,4843
15904,2005,14144
15904,2006,14371
15904,2007,14100
15904,2008,14101
15904,2009,14351
15904,2010,14454
15904,2011,14846
15904,2012,14911
15904,2013,15154
15904,2014,15316
15904,2015,15270
15904,2016,15080
15904,2017,14818
15904,2018,14363
15904,2019,14073
15905,2005,12571
15905,2006,12060
15905,2007,11906
15905,2008,11735
15905,2009,11608
15905,2010,12292
15905,2011,11904
15905,2012,11822
15905,2013,11931
15905,2014,12059
15905,2015,11726
15905,2016,11279
15905,2017,10878
15905,2018,10412
15905,2019,10166
15906,2005,1063
15906,2006,1063
15906,2007,1147
15906,2008,1159
15906,2009,1203
15906,2010,1196
15906,2011,1167
15906,2012,1157
15906,2013,1192
15906,2014,1177
15906,2015,1293
15906,2016,1357
15906,2017,1428
15906,2018,1449
15906,2019,1467
15907,2005,56580
15907,2006,56371
15907,2007,55322
15907,2008,54726
15907,2009,54410
15907,2010,55086
15907,2011,54894
15907,2012,54260
15907,2013,54236
15907,2014,53811
15907,2015,53701
15907,2016,53035
15907,2017,52486
15907,2018,50641
15907,2019,48720
15908,2005,9723
15908,2006,9653
15908,2007,9786
15908,2008,9804
15908,2009,9967
15908,2010,9962
15908,2011,9860
15908,2012,9716
15908,2013,9828
15908,2014,10007
15908,2015,9953
15908,2016,9849
15908,2017,9626
15908,2018,9102
15908,2019,8934
15909,2005,3445
15909,2006,3480
15909,2007,3542
15909,2008,3551
15909,2009,3459
15909,2010,3706
15909,2011,3779
15909,2012,3849
15909,2013,3888
15909,2014,3934
15909,2015,3932
15909,2016,3981
15909,2017,4057
15909,2018,4163
15909,2019,4156
15910,2005,57265
15910,2006,59556
15910,2007,61003
15910,2008,61910
15910,2009,63189
15910,2010,65217
15910,2011,66364
15910,2012,67208
15910,2013,67701
15910,2014,67986
15910,2015,67757
15910,2016,67501
15910,2017,67217
15910,2018,65805
15910,2019,64850
15911,2005,7879
15911,2006,8128
15911,2007,8470
15911,2008,8770
15911,2009,9078
15911,2010,9257
15911,2011,9571
15911,2012,9398
15911,2013,9562
15911,2014,9689
15911,2015,9811
15911,2016,10075
15911,2017,10206
15911,2018,10201
15911,2019,10029
15912,2005,9702
15912,2006,9930
15912,2007,10438
15912,2008,10911
15912,2009,11333
15912,2010,11455
15912,2011,11779
15912,2012,12409
15912,2013,12991
15912,2014,13275
15912,2015,13479
15912,2016,13661
15912,2017,13860
15912,2018,13843
15912,2019,13733
15913,2005,933
15913,2006,895
15913,2007,872
15913,2008,859
15913,2009,963
15913,2010,934
15913,2011,985
15913,2012,1110
15913,2013,1054
15913,2014,931
15913,2015,880
15913,2016,961
15913,2017,1032
15913,2018,1051
15913,2019,1072
15914,2005,1172
15914,2006,1225
15914,2007,1327
15914,2008,1425
15914,2009,1438
15914,2010,1471
15914,2011,1427
15914,2012,1544
15914,2013,1605
15914,2014,1542
15914,2015,1513
15914,2016,1582
15914,2017,1597
15914,2018,1608
15914,2019,1586
15915,2005,74013
15915,2006,78154
15915,2007,81861
15915,2008,85544
15915,2009,88201
15915,2010,91464
15915,2011,94632
15915,2012,97204
15915,2013,99426
15915,2014,101549
15915,2015,102950
15915,2016,104437
15915,2017,105492
15915,2018,106086
15915,2019,105797
15916,2005,18110
15916,2006,19218
15916,2007,20242
15916,2008,20601
15916,2009,21256
15916,2010,21695
15916,2011,22016
15916,2012,22460
15916,2013,22576
15916,2014,22928
15916,2015,23292
15916,2016,23251
15916,2017,23023
15916,2018,23108
15916,2019,22848
15917,2005,4841
15917,2006,4853
15917,2007,4899
15917,2008,4991
15917,2009,5081
15917,2010,5192
15917,2011,5310
15917,2012,5178
15917,2013,5123
15917,2014,5150
15917,2015,5332
15917,2016,5582
15917,2017,5708
15917,2018,5651
15917,2019,5660
16901,2005,697
16901,2006,673
16901,2007,695
16901,2008,678
16901,2009,690
16901,2010,679
16901,2011,707
16901,2012,710
16901,2013,721
16901,2014,707
16901,2015,679
16901,2016,695
16901,2017,689
16901,2018,657
16901,2019,650
16902,2005,965
16902,2006,990
16902,2007,983
16902,2008,983
16902,2009,949
16902,2010,966
16902,2011,966
16902,2012,965
16902,2013,949
16902,2014,970
16902,2015,995
16902,2016,990
16902,2017,1024
16902,2018,1028
16902,2019,1009
17901,2005,168
17901,2006,155
17901,2007,143
17901,2008,166
17901,2009,188
17901,2010,220
17901,2011,227
17901,2012,211
17901,2013,238
17901,2014,256
17901,2015,249
17901,2016,243
17901,2017,254
17901,2018,233
17901,2019,214
18901,2005,1169
18901,2006,1191
18901,2007,1164
18901,2008,1170
18901,2009,1134
18901,2010,1140
18901,2011,1137
18901,2012,1093
18901,2013,997
18901,2014,1039
18901,2015,1022
18901,2016,964
18901,2017,995
18901,2018,1005
18901,2019,1000
18902,2005,517
18902,2006,544
18902,2007,528
18902,2008,523
18902,2009,524
18902,2010,518
18902,2011,507
18902,2012,541
18902,2013,508
18902,2014,523
18902,2015,493
18902,2016,476
18902,2017,478
18902,2018,473
18902,2019,474
18903,2005,172
18903,2006,151
18903,2007,128
18903,2008,118
18903,2009,123
18903,2010,131
18903,2011,125
18903,2012,106
18903,2013,103
18903,2014,117
18903,2015,108
18903,2016,134
18903,2017,124
18903,2018,133
18903,2019,129
18904,2005,631
18904,2006,637
18904,2007,618
18904,2008,590
18904,2009,604
18904,2010,627
18904,2011,636
18904,2012,647
18904,2013,628
18904,2014,618
18904,2015,620
18904,2016,617
18904,2017,619
18904,2018,642
18904,2019,648
18905,2005,266
18905,2006,223
18905,2007,208
18905,2008,212
18905,2009,199
18905,2010,212
18905,2011,197
18905,2012,199
18905,2013,199
18905,2014,174
18905,2015,172
18905,2016,187
18905,2017,191
18905,2018,177
18905,2019,187
18906,2005,146
18906,2006,147
18906,2007,138
18906,2008,131
18906,2009,114
18906,2010,132
18906,2011,139
18906,2012,134
18906,2013,131
18906,2014,135
18906,2015,134
18906,2016,134
18906,2017,140
18906,2018,140
18906,2019,141
18907,2005,297
18907,2006,289
18907,2007,279
18907,2008,272
18907,2009,248
18907,2010,250
18907,2011,252
18907,2012,246
18907,2013,234
18907,2014,224
18907,2015,232
18907,2016,223
18907,2017,219
18907,2018,232
18907,2019,201
18908,2005,113
18908,2006,89
18908,2007,108
18908,2008,91
18908,2009,88
18908,2010,103
18908,2011,112
18908,2012,117
18908,2013,126
18908,2014,123
18908,2015,125
18908,2016,130
18908,2017,136
18908,2018,138
18908,2019,133
19901,2005,897
19901,2006,875
19901,2007,808
19901,2008,796
19901,2009,832
19901,2010,810
19901,2011,821
19901,2012,822
19901,2013,811
19901,2014,822
19901,2015,801
19901,2016,789
19901,2017,824
19901,2018,830
19901,2019,799
19902,2005,1086
19902,2006,1074
19902,2007,1055
19902,2008,1047
19902,2009,1069
19902,2010,1023
19902,2011,971
19902,2012,897
19902,2013,882
19902,2014,885
19902,2015,857
19902,2016,873
19902,2017,923
19902,2018,942
19902,2019,908
19903,2005,478
19903,2006,475
19903,2007,475
19903,2008,481
19903,2009,488
19903,2010,513
19903,2011,518
19903,2012,506
19903,2013,479
19903,2014,482
19903,2015,480
19903,2016,478
19903,2017,478
19903,2018,488
19903,2019,467
19905,2005,1373
19905,2006,1400
19905,2007,1464
19905,2008,1434
19905,2009,1406
19905,2010,1397
19905,2011,1393
19905,2012,1361
19905,2013,1380
19905,2014,1376
19905,2015,1370
19905,2016,1356
19905,2017,1345
19905,2018,1339
19905,2019,1274
19906,2005,1130
19906,2006,1146
19906,2007,1111
19906,2008,1124
19906,2009,1083
19906,2010,1101
19906,2011,1133
19906,2012,1144
19906,2013,1161
19906,2014,1130
19906,2015,1147
19906,2016,1133
19906,2017,1115
19906,2018,1104
19906,2019,1130
19907,2005,5839
19907,2006,6025
19907,2007,6097
19907,2008,6442
19907,2009,6658
19907,2010,6848
19907,2011,6927
19907,2012,7076
19907,2013,7121
19907,2014,7239
19907,2015,7195
19907,2016,7058
19907,2017,7164
