DISTRICT,DA0CA07R,DA0CC07R,DA0CS07R,DA0CT07R,DACRB07R,DACRM07R,DACRR07R,DB0CA07R,DB0CC07R,DB0CS07R,DB0CT07R,DBCRB07R,DBCRM07R,DBCRR07R,DECRB07R,DECRM07R,DECRR07R,DF0CA07R,DF0CC07R,DF0CS07R,DF0CT07R,DFCRB07R,DFCRM07R,DFCRR07R,DH0CA07R,DH0CC07R,DH0CS07R,DH0CT07R,DHCRB07R,DHCRM07R,DHCRR07R,DI0CA07R,DI0CC07R,DI0CS07R,DI0CT07R,DICRB07R,DICRM07R,DICRR07R,DLCRB07R,DLCRM07R,DLCRR07R,DM0CA07R,DM0CC07R,DM0CS07R,DM0CT07R,DMCRB07R,DMCRM07R,DMCRR07R,DP0CA07R,DP0CC07R,DP0CS07R,DP0CT07R,DPCRB07R,DPCRM07R,DPCRR07R,DRCRB07R,DRCRM07R,DRCRR07R,DSCRB07R,DSCRM07R,DSCRR07R,DW0CA07R,DW0CC07R,DW0CS07R,DW0CT07R,DWCRB07R,DWCRM07R,DWCRR07R
"008901",21.9,33.3,997,76.1,42,58,48,17.2,10,870,71.4,0,9,7,8,8,6,21.3,30.4,978,74.2,41,46,51,18.3,20,878,41.7,27,27,36,-1,-1,-1,-1,-1,-1,-1,.,.,.,22.2,35.7,1012,77.8,44,68,46,.,.,.,.,.,.,.,12,20,20,18,25,20,22.8,38.1,1023,78.5,47,66,54
"008902",20.2,16.9,966,61.1,39,54,61,14.6,0,868,80,20,20,60,12,16,44,21.3,22.7,956,60.3,43,50,71,-1,0,-1,17.9,13,29,38,.,.,.,.,.,.,.,-1,-1,-1,18.8,9.4,981,60.4,33,60,47,.,-1,.,-1,-1,-1,-1,10,19,48,.,-1,-1,21.5,22.4,978,70.7,51,67,69
"008903",18.1,8.3,917,70.6,28,49,43,15,0,773,-2,10,20,20,11,11,20,17.2,0,860,76.2,36,45,64,.,-1,-1,15.4,15,38,38,.,.,.,.,.,.,.,.,.,.,17.5,15,963,66.7,23,52,28,.,.,.,.,.,.,.,5,14,23,-1,-1,-1,18.9,8.3,954,82.8,40,63,52
"009901",21.5,32.4,1072,58.7,49,65,60,.,.,.,.,.,.,.,31,48,48,21.3,33.3,-1,63.2,64,68,81,18.7,14.3,.,23.3,26,46,41,.,.,.,.,.,.,.,-1,-1,-1,21.5,25,-1,48,28,60,33,-1,-1,.,-2,.,.,.,23,34,42,-1,-1,0,21.9,29.6,1072,81.8,68,79,76
"010901",17.4,5.3,911,-2,22,44,20,-1,-1,.,-2,.,.,.,14,29,13,18.2,0,830,-2,17,17,14,-1,-1,-1,80,0,20,0,.,.,-1,.,.,.,.,.,.,.,17,10,964,83.3,25,58,23,.,.,.,.,.,.,.,11,22,9,-1,-1,-1,17.8,7.7,909,100,31,54,27
"010902",20,18.3,986,76.2,44,62,58,.,.,.,.,.,.,.,43,59,54,19.7,16.9,962,86.8,40,48,66,18.6,10,939,80,40,52,59,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,20.3,19.6,1019,67.5,47,75,52,-1,-1,-1,-2,-1,-1,-1,24,35,45,-1,-1,14,20.4,19.5,998,71.9,45,66,59
"011901",19.8,24.2,976,61.4,34,60,45,17.2,8.7,784,95.8,17,38,32,22,56,29,19.8,23,973,67,37,53,53,19.7,22.4,970,48,25,60,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.9,25.8,980,55.4,31,67,36,.,.,-1,-1,-1,-1,-1,15,43,27,0,27,0,20.1,26.2,1011,63.7,40,63,51
"011902",18.5,18.8,915,61.1,29,40,49,-1,0,743,75,0,6,17,12,18,35,18.9,16.4,911,72,35,42,54,18.6,7.4,850,55.1,21,31,40,.,.,.,.,.,.,.,-1,-1,-1,17.9,24.1,924,45.3,22,36,41,.,-1,-1,-1,-1,-1,-1,10,18,34,-1,-1,-1,19.5,27.8,995,60.7,39,50,61
"011904",21.8,37.9,1023,65.2,53,67,68,.,-1,-1,-2,.,.,.,44,61,61,21.6,29.4,1022,79.1,61,71,71,-1,40,1075,50,22,56,56,.,.,.,.,.,.,.,.,.,.,22.4,50,1046,52.2,45,64,66,.,.,.,.,.,.,.,8,21,38,-1,-1,-1,21.9,37.3,1031,64.6,57,69,70
"011905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
