DISTRICT,DA0CA10R,DA0CC10R,DA0CS10R,DA0CT10R,DACRB10R,DACRM10R,DACRR10R,DB0CA10R,DB0CC10R,DB0CS10R,DB0CT10R,DBCRB10R,DBCRM10R,DBCRR10R,DECRB10R,DECRM10R,DECRR10R,DF0CA10R,DF0CC10R,DF0CS10R,DF0CT10R,DFCRB10R,DFCRM10R,DFCRR10R,DH0CA10R,DH0CC10R,DH0CS10R,DH0CT10R,DHCRB10R,DHCRM10R,DHCRR10R,DI0CA10R,DI0CC10R,DI0CS10R,DI0CT10R,DICRB10R,DICRM10R,DICRR10R,DLCRB10R,DLCRM10R,DLCRR10R,DM0CA10R,DM0CC10R,DM0CS10R,DM0CT10R,DMCRB10R,DMCRM10R,DMCRR10R,DRCRB10R,DRCRM10R,DRCRR10R,DSCRB10R,DSCRM10R,DSCRR10R,DW0CA10R,DW0CC10R,DW0CS10R,DW0CT10R,DWCRB10R,DWCRM10R,DWCRR10R,D20CA10R,D20CC10R,D20CS10R,D20CT10R,D2CRB10R,D2CRM10R,D2CRR10R,D30CA10R,D30CC10R,D30CS10R,D30CT10R,D3CRB10R,D3CRM10R,D3CRR10R,D40CA10R,D40CC10R,D40CS10R,D40CT10R,D4CRB10R,D4CRM10R,D4CRR10R
"007902",19.9,14.3,910,40,30,45,59,-1,-1,.,-1,-1,-1,-1,19,32,51,20.5,21.4,-1,38.9,33,38,69,17.9,0,830,25.6,26,33,60,.,.,.,.,-1,-1,-1,-1,-1,-1,19.3,7.1,868,41.2,26,53,47,9,23,41,-3,-3,20,21.4,25,1038,66.7,41,67,63,.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"007904",17.6,5.2,856,53.7,43,60,57,.,.,.,.,-1,-1,-1,34,55,50,17.7,3.3,852,50.8,44,65,58,16.8,2.4,812,51.9,39,58,50,.,.,.,.,-1,-1,-1,-1,-1,-1,17.4,7.1,861,57.1,41,55,56,6,22,29,-1,-1,-1,19.6,12.5,955,59.3,54,68,80,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"007905",21,21.8,951,45.6,43,52,67,-1,-1,.,-1,-1,-1,-1,31,39,61,21.9,24.4,945,54.2,51,56,75,18.8,16.7,921,33.3,37,44,66,.,.,.,.,-1,-1,-1,-1,-1,-1,20.1,18.2,963,37.5,36,48,59,6,14,48,-3,-3,19,23.1,26.8,981,66.1,55,65,68,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"007906",19.3,0,842,37.6,38,42,74,.,-1,-1,-1,-1,-1,-1,30,36,68,19.6,0,844,45.3,38,44,77,19,0,799,34.9,31,37,71,.,.,.,.,-1,-1,-1,-1,-1,-1,19,0,838,30.4,37,41,73,13,20,60,-1,-1,-1,19.8,0,964,47.6,65,65,85,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"008901",23.3,37.8,1012,60.7,52,66,61,-1,0,819,65,29,48,36,33,44,48,22.6,29.5,980,69.8,56,65,71,20.2,10,849,41.7,27,48,50,.,.,.,.,-1,-1,-1,-1,-1,-1,24.1,47.4,1057,52.8,49,67,53,18,30,30,-3,-3,18,24.2,51.7,1093,65.9,66,76,71,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"008902",19.4,13.2,977,66.9,50,59,69,16.1,0,-1,85.7,36,50,50,39,54,58,19.4,16.3,993,77.8,51,57,74,18.5,7.7,968,49.1,33,46,61,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.4,9.5,960,57.5,49,61,65,17,28,49,-3,-3,50,20.5,19.6,1004,76.1,64,70,79,-1,-1,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"008903",16.8,25.8,987,55.4,64,76,80,.,-1,-1,-1,-1,-1,-1,40,60,67,16.8,20,991,50,54,68,79,.,12.5,936,42.1,58,74,79,.,.,.,.,-1,-1,-1,-1,-1,-1,.,31.3,985,61.5,74,85,81,33,50,67,-1,-1,-1,16.8,35,1044,60.6,68,81,81,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"009901",19.9,25.6,1118,62.9,49,67,60,.,.,.,.,-1,-1,-1,41,63,50,19.4,16.7,-1,60,36,51,55,18.8,15,-1,47.6,42,62,53,.,.,.,.,-1,-1,-1,-3,33,-3,20.3,33.3,1132,65.6,62,82,65,-3,29,-3,13,22,13,20.9,36.8,-1,95,64,77,73,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"010901",20.2,25,933,95.2,50,68,62,.,.,.,.,-1,-1,-1,45,73,54,20.1,30,909,-2,56,56,89,-1,20,-1,-2,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,20.4,20,957,83.3,46,77,47,50,60,50,-1,-1,20,20,26.7,929,88.2,50,72,57,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"010902",20.7,27.9,978,66.2,53,72,65,.,.,.,.,-1,-1,-1,49,73,57,21.5,27.1,963,76.6,65,76,75,16.6,16.7,901,56.3,35,61,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.6,28.9,1001,56.3,42,68,56,33,54,52,-3,33,14,21.4,30.1,1001,69.2,58,75,69,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"011901",20.8,21.4,964,46.5,39,53,59,-1,11.8,815,56.7,17,27,39,29,43,51,19.9,14.4,938,48.6,38,50,63,18.1,7,900,36.6,27,45,51,.,-1,-1,50,-3,20,40,-3,17,-3,22.1,29.8,993,44.1,40,56,55,21,34,44,4,7,10,22.2,30.4,1019,52.3,52,62,68,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"011902",19.4,14.2,931,45.3,34,43,57,-1,0,818,45.5,27,31,37,20,32,48,19.5,13.6,932,46.8,39,48,65,19.2,7.4,887,27,23,38,50,.,-1,-1,-1,-1,-1,-1,-3,-3,-3,19.3,14.9,928,43.5,30,38,49,17,26,49,-3,13,7,20.2,18.9,968,58.9,44,49,68,-1,28.6,980,87.5,63,75,88,-1,-1,-1,-2,-1,-1,-1,.,.,.,.,-1,-1,-1
"011904",20.7,24.2,1035,53.9,53,73,58,16.4,0,-1,45.5,22,40,33,42,62,45,21.8,23.3,1029,52.6,60,71,67,20.7,12.5,1035,57.1,54,62,53,.,.,.,.,-1,-1,-1,-1,-1,-1,19.8,25,1042,55.2,47,75,48,18,35,27,17,14,10,21.1,26.1,1029,53.5,55,77,60,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"011905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"012901",21.7,37.1,.,76.1,58,70,70,.,.,.,-1,-1,-1,-1,50,46,69,21.6,34.8,.,79.3,59,72,72,-1,-1,.,66.7,33,50,43,.,.,.,.,-1,-1,-1,-1,-1,-1,22,41.7,.,70.6,56,65,65,-1,-3,-1,-1,-1,-1,21.9,38.7,.,79.5,63,74,74,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
